"mac_addr","feature","team","label"
"80:E1:25:00:D9:D7","[71,80,85,70]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[82,89,71,48]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[82,83,74,70]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[75,79,73,47]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[71,88,77,64]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[81,86,86,50]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[82,74,80,62]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[86,76,71,70]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[88,80,89,69]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[81,79,90,68]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[84,85,89,64]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[84,78,78,65]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[71,73,85,55]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[86,85,72,48]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[81,86,78,49]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[83,82,87,47]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[87,84,74,60]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[73,85,73,53]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[80,80,75,66]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[88,77,80,53]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[79,88,90,59]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[89,90,90,65]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[75,72,84,69]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[73,84,72,55]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[89,74,77,59]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[75,83,88,64]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[81,89,81,50]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[75,82,75,69]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[72,71,84,56]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[84,72,82,63]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[77,71,84,56]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[77,71,76,56]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[71,71,72,46]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[71,83,72,60]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[78,82,77,62]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[89,74,88,55]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[74,76,90,65]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[73,90,79,66]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[71,72,75,50]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[75,82,84,66]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[74,75,72,59]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[72,82,87,53]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[81,88,77,64]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[72,84,86,65]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[88,73,81,56]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[85,79,90,62]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[77,79,82,66]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[89,80,79,54]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[83,77,88,53]",29,"[0,0,0,1]"
"80:E1:25:00:D9:D7","[83,80,78,70]",29,"[0,0,0,1]"
