"mac_addr","feature","team","label"
"80:E1:26:07:D6:C2","[78,53,84,77]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[76,61,72,90]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[72,70,87,76]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[78,49,71,90]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[75,58,78,77]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[76,62,81,88]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[89,63,78,84]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[76,60,83,78]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[71,65,73,75]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[72,64,87,71]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[84,50,74,72]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[73,58,88,71]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[84,56,82,82]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[83,67,86,72]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[76,56,82,78]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[73,68,86,85]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[86,57,86,85]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[77,54,89,77]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[76,70,71,84]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[74,58,88,85]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[79,57,83,72]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[90,61,85,71]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[77,49,79,76]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[89,59,89,76]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[78,67,86,80]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[88,67,71,85]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[73,46,76,72]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[86,65,82,74]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[73,67,87,83]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[74,50,78,86]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[75,62,71,79]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[79,47,90,73]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[89,48,71,72]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[86,57,79,75]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[78,50,78,75]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[84,58,83,73]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[86,65,71,85]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[89,51,71,80]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[83,48,80,81]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[71,64,88,83]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[72,63,72,74]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[74,56,85,87]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[76,64,72,71]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[77,48,86,72]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[88,56,89,82]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[76,62,82,71]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[79,56,73,90]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[89,47,86,74]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[74,52,85,90]",14,"[0,1,0,0]"
"80:E1:26:07:D6:C2","[78,61,79,88]",14,"[0,1,0,0]"
